CountyCode	PrecinctNu	CensusBloc	Split
MRT	25	120850006063003	
MRT	25	120850006063004	
MRT	26	120850006063005	
MRT	26	120850006063006	
MRT	25	120850006063007	
MRT	25	120850006063008	
MRT	25	120850006063009	
MRT	25	120850006063010	
MRT	25	120850006063011	
MRT	25	120850006063012	
MRT	25	120850006063013	
MRT	25	120850006063014	
MRT	25	120850006063015	
MRT	25	120850006063016	
MRT	26	120850006063017	
MRT	26	120850006063018	
MRT	26	120850006063019	
MRT	26	120850006063020	
MRT	26	120850006063021	
MRT	26	120850006063022	
MRT	26	120850006063023	
MRT	26	120850006063024	
MRT	26	120850006063025	
MRT	26	120850006063026	
MRT	26	120850006063027	
MRT	26	120850006063028	
MRT	26	120850006063029	
MRT	26	120850006063030	
MRT	26	120850006063031	
MRT	26	120850006063032	
MRT	26	120850006063033	
MRT	25	120850006063034	
MRT	26	120850006063035	
MRT	26	120850006063036	
MRT	26	120850006063037	
MRT	26	120850006063038	
MRT	26	120850006063039	
MRT	26	120850006063040	
MRT	26	120850006063041	
MRT	26	120850006063042	
MRT	26	120850006063043	
MRT	26	120850006063044	
MRT	26	120850006063045	
MRT	25	120850006063046	
MRT	25	120850006063047	
MRT	25	120850006063048	
MRT	25	120850006063049	
MRT	25	120850006063050	
MRT	26	120850006063051	
MRT	26	120850006063052	
MRT	26	120850006063053	
MRT	26	120850006063054	
MRT	26	120850006063055	
MRT	25	120850006063056	
MRT	24	120850006071000	
MRT	24	120850006071001	
MRT	24	120850006071002	
MRT	24	120850006071003	
MRT	24	120850006071004	
MRT	25	120850006071005	
MRT	25	120850006071006	
MRT	25	120850006071007	
MRT	25	120850006071008	
MRT	25	120850006071009	
MRT	25	120850006071010	
MRT	24	120850006071011	
MRT	24	120850006071012	
MRT	24	120850006071013	
MRT	24	120850006071014	
MRT	24	120850006071015	
MRT	24	120850006071016	
MRT	26	120850006072000	
MRT	26	120850006072001	
MRT	26	120850006072002	
MRT	26	120850006072003	
MRT	26	120850006072004	
MRT	26	120850006072005	
MRT	26	120850006072006	
MRT	26	120850006072007	
MRT	26	120850006072008	
MRT	26	120850006072009	
MRT	26	120850006072010	
MRT	26	120850006072011	
MRT	26	120850006072012	
MRT	26	120850006072013	
MRT	26	120850006072014	
MRT	25	120850006072015	
MRT	26	120850006072016	
MRT	26	120850006072017	
MRT	26	120850006072018	
MRT	26	120850006072019	
MRT	26	120850006072020	
MRT	26	120850006072021	
MRT	26	120850006072022	
MRT	24	120850006101000	
MRT	24	120850006101001	
MRT	24	120850006101002	
MRT	24	120850006101003	
MRT	24	120850006101004	
MRT	24	120850006101005	
MRT	24	120850006101006	
MRT	24	120850006101007	
MRT	24	120850006101008	
MRT	24	120850006101009	
MRT	24	120850006101010	
MRT	24	120850006101011	
MRT	24	120850006101012	
MRT	24	120850006101013	
MRT	24	120850006101014	
MRT	24	120850006101015	
MRT	24	120850006101016	
MRT	24	120850006101017	
MRT	24	120850006101018	
MRT	24	120850006101019	
MRT	24	120850006101020	
MRT	24	120850006101021	
MRT	24	120850006101022	
MRT	24	120850006101023	
MRT	24	120850006101024	
MRT	24	120850006101025	
MRT	24	120850006101026	
MRT	25	120850006102000	
MRT	25	120850006102001	
MRT	25	120850006102002	
MRT	25	120850006102003	
MRT	25	120850006102004	
MRT	25	120850006102005	
MRT	25	120850006102006	
MRT	25	120850006102007	
MRT	25	120850006102008	
MRT	25	120850006102009	
MRT	25	120850006102010	
MRT	25	120850006102011	
MRT	25	120850006102012	
MRT	25	120850006102013	
MRT	25	120850006102014	
MRT	25	120850006102015	
MRT	25	120850006102016	
MRT	25	120850006102017	
MRT	25	120850006102018	
MRT	25	120850006102019	
MRT	25	120850006102020	
MRT	7	120850007001000	
MRT	7	120850007001001	
MRT	7	120850007001002	
MRT	7	120850007001003	
MRT	7	120850007001004	
MRT	7	120850007001005	
MRT	7	120850007001006	
MRT	7	120850007001007	
MRT	7	120850007001008	
MRT	7	120850007001009	
MRT	7	120850007001010	
MRT	7	120850007001011	
MRT	7	120850007001012	
MRT	7	120850007001013	
MRT	7	120850007001014	
MRT	7	120850007001015	
MRT	7	120850007001016	
MRT	7	120850007001017	
MRT	7	120850007001018	
MRT	7	120850007001019	
MRT	7	120850007001020	
MRT	7	120850007001021	
MRT	7	120850007001022	
MRT	7	120850007001023	
MRT	7	120850007001024	
MRT	7	120850007001025	
MRT	7	120850007001026	
MRT	7	120850007001027	
MRT	7	120850007001028	
MRT	7	120850007001029	
MRT	7	120850007001030	
MRT	7	120850007001031	
MRT	7	120850007001032	
MRT	7	120850007001033	
MRT	7	120850007001034	
MRT	7	120850007001035	
MRT	7	120850007001036	
MRT	7	120850007001037	
MRT	7	120850007001038	
MRT	7	120850007001039	
MRT	7	120850007001040	
MRT	7	120850007001041	
MRT	7	120850007001042	
MRT	7	120850007001043	
MRT	7	120850007002000	
MRT	7	120850007002001	
MRT	7	120850007002002	
MRT	7	120850007002003	
MRT	7	120850007002004	
MRT	7	120850007002005	
MRT	7	120850007002006	
MRT	7	120850007002007	
MRT	7	120850007002008	
MRT	6	120850007002009	
MRT	7	120850007003000	
MRT	7	120850007003001	
MRT	7	120850007003002	
MRT	7	120850007003003	
MRT	7	120850007003004	
MRT	7	120850007003005	
MRT	7	120850007003006	
MRT	7	120850007003007	
MRT	7	120850007003008	
MRT	7	120850007003009	
MRT	7	120850007003010	
MRT	7	120850007003011	
MRT	24	120850007003012	
MRT	7	120850007004000	
MRT	6	120850007004001	
MRT	6	120850007004002	
MRT	6	120850007004003	
MRT	6	120850007004004	
MRT	6	120850007004005	
MRT	24	120850007004006	
MRT	6	120850007004007	
MRT	6	120850007004008	
MRT	6	120850007004009	
MRT	6	120850007004010	
MRT	6	120850007004011	
MRT	6	120850007004012	
MRT	6	120850007004013	
MRT	6	120850007004014	
MRT	6	120850007004015	
